,question,ppc-pval,mtt-pval,mtt-stat,mtt-gdf,gft-pval,gft-stat,gft-dgf,std_c
7596,96.0,0.0,0.00026838617768883637,16.44616730623344,2,4.1937454678877536e-11,65.30838570688654,8,0.7000000000000001
7597,97.0,0.00425,0.6487324106884796,0.8654699149770124,2,0.0008655275384357128,26.489967953824237,8,0.7000000000000001
7598,98.0,0.4655,1.0,0.0,0,0.07595574942505427,5.155208705346171,2,0.7000000000000001
7599,99.0,0.004583333333333333,0.9909383800382723,0.018205852326616423,2,0.0006471217163778002,27.222320655801617,8,0.7000000000000001
7600,0.0,0.24583333333333332,0.9829485557860804,0.03439698818897341,2,0.1762049875790698,11.475089786292813,8,0.7000000000000001
7601,1.0,0.10583333333333333,0.7937733607014198,0.46191459680674996,2,0.05659779533676552,15.133673164286042,8,0.7000000000000001
7602,2.0,0.2865,0.2719654154142838,1.206806975648762,1,0.028720618203607537,12.484401425646473,5,0.7000000000000001
7603,3.0,0.14983333333333335,0.9919247442112747,0.01621607453046181,2,0.1102726276243909,13.046118881001721,8,0.7000000000000001
7604,4.0,0.0,0.009251121136873543,9.366021061632168,2,9.855639947135369e-09,53.20209751663019,8,0.7000000000000001
7605,5.0,0.040916666666666664,0.27691709860042857,2.5680742012396927,2,0.0003866199884311227,28.50849894152097,8,0.7000000000000001
7606,6.0,0.0,0.637768925269395,0.8995584946814006,2,6.260976462285172e-10,59.34634650045537,8,0.7000000000000001
7607,7.0,0.0,0.34439860728206817,2.1319111006663434,2,3.7454993576153856e-12,70.5923175696692,8,0.7000000000000001
7608,8.0,0.006833333333333334,0.9627788025484305,0.07586317955923505,2,0.0010221758669002126,26.068864387753138,8,0.7000000000000001
7609,9.0,0.41391666666666665,0.9991171812960952,0.0017664172356717245,2,0.3854098561436563,8.508791484343192,8,0.7000000000000001
7610,10.0,0.028333333333333332,0.7204957886253447,0.6556314172640612,2,0.011513177570731108,19.704636484349145,8,0.7000000000000001
7611,11.0,0.0,0.8296623690693515,0.3734728904088911,2,8.033280942275085e-09,53.66048276038691,8,0.7000000000000001
7612,12.0,0.35225,0.8809499561439835,0.2535089162562798,2,0.3279930160576226,9.17202160338624,8,0.7000000000000001
7613,13.0,0.8004166666666667,1.0,-0.005044243009891147,2,0.9999914361271846,0.24540662532990598,8,0.7000000000000001
7614,14.0,0.0,0.8977513561617646,0.21572427050824672,2,1.6019919393270725e-08,52.11107858330317,8,0.7000000000000001
7615,15.0,0.69125,0.8461649433544167,0.33408193975152756,2,0.7463235965977798,5.1047528279251235,8,0.7000000000000001
7616,16.0,0.09466666666666666,0.9832523349450577,0.03377898590278505,2,0.05453922462544657,15.245765408447511,8,0.7000000000000001
7617,17.0,0.13183333333333333,0.970710962579673,0.059453049698262816,2,0.06585941566801161,14.671369185839275,8,0.7000000000000001
7618,18.0,0.0,0.7376717058806337,0.6085127926676535,2,1.4155157842086686e-06,41.8975779242861,8,0.7000000000000001
7619,19.0,0.00016666666666666666,0.5550496479904763,1.1773954267958828,2,1.584423624757018e-06,41.63648684872043,8,0.7000000000000001
7620,20.0,0.07558333333333334,0.9172978845148304,0.17264602535561835,2,0.04967058934573357,15.527132360502657,8,0.7000000000000001
7621,21.0,0.0,0.12862552132956953,4.1017000634787735,2,4.029785589334993e-21,114.74023333801907,8,0.7000000000000001
7622,22.0,0.5240833333333333,1.0,-0.004570150434268783,1,0.5711608399712873,3.8503233944360824,5,0.7000000000000001
7623,23.0,0.019416666666666665,0.9812851274996645,0.03778442360101053,2,0.0026783221904556186,23.59537303950094,8,0.7000000000000001
