,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
157,100,500,3,0.2,0.1,6000,1161.0143523315182,400,2.9025358808287955,940.2203471387334,100,9.402203471387333,2
158,100,500,3,0.2,0.1,6000,1042.940525651154,400,2.607351314127885,811.5603140670689,100,8.11560314067069,3
159,100,500,3,0.2,0.1,6000,1076.80147824577,400,2.6920036956144253,878.9615990604825,100,8.789615990604824,4
160,100,500,4,0.01,1.0,6000,731.9050969533729,400,1.8297627423834322,323.57616039711803,100,3.2357616039711803,0
161,100,500,4,0.01,1.0,6000,710.6664614875768,400,1.776666153718942,491.8921558937784,100,4.918921558937784,1
162,100,500,4,0.01,1.0,6000,733.8119418392977,400,1.8345298545982442,386.7601814100452,100,3.867601814100452,2
163,100,500,4,0.01,1.0,6000,682.8725577211655,400,1.707181394302914,492.81370820359734,100,4.928137082035973,3
164,100,500,4,0.01,1.0,6000,686.7646964023006,400,1.7169117410057515,434.541883302814,100,4.34541883302814,4
165,100,500,4,0.01,0.8,6000,536.0448082484058,400,1.3401120206210146,2272.624201700802,100,22.726242017008023,0
166,100,500,4,0.01,0.8,6000,534.2991369216631,400,1.3357478423041578,559.8616363030458,100,5.598616363030458,1
167,100,500,4,0.01,0.8,6000,564.0028317912398,400,1.4100070794780997,479.5004836895641,100,4.79500483689564,2
168,100,500,4,0.01,0.8,6000,561.6762000107346,400,1.4041905000268367,544.0281669358058,100,5.440281669358058,3
169,100,500,4,0.01,0.8,6000,527.0490520285124,400,1.317622630071281,524.8608478203294,100,5.248608478203294,4
170,100,500,4,0.01,0.5,6000,445.3772403622022,400,1.1134431009055055,658.6626319866234,100,6.586626319866234,0
171,100,500,4,0.01,0.5,6000,472.8428913701206,400,1.1821072284253014,564.0996362394804,100,5.640996362394804,1
172,100,500,4,0.01,0.5,6000,478.4390258537125,400,1.1960975646342813,673.4635559232535,100,6.734635559232535,2
173,100,500,4,0.01,0.5,6000,463.4001964767243,400,1.1585004911918109,600.9639809753387,100,6.009639809753387,3
174,100,500,4,0.01,0.5,6000,469.6708523186387,400,1.1741771307965967,549.4633430092573,100,5.494633430092573,4
175,100,500,4,0.01,0.1,6000,454.68084643758243,400,1.136702116093956,1010.2485127140927,100,10.102485127140927,0
176,100,500,4,0.01,0.1,6000,401.12025722324825,400,1.0028006430581207,635.52070027722,100,6.3552070027722,1
177,100,500,4,0.01,0.1,6000,439.5718496338419,400,1.0989296240846047,979.8723803943064,100,9.798723803943064,2
178,100,500,4,0.01,0.1,6000,446.5397323774291,400,1.1163493309435728,1059.1029767877858,100,10.591029767877858,3
179,100,500,4,0.01,0.1,6000,464.02836013247247,400,1.160070900331181,830.0601357003369,100,8.30060135700337,4
180,100,500,4,0.05,1.0,6000,838.3880333921499,400,2.0959700834803745,436.05646373557573,100,4.360564637355758,0
181,100,500,4,0.05,1.0,6000,812.3774928870677,400,2.0309437322176693,414.6452440193486,100,4.146452440193486,1
182,100,500,4,0.05,1.0,6000,848.5713756641148,400,2.121428439160287,353.30313400960597,100,3.5330313400960596,2
183,100,500,4,0.05,1.0,6000,835.4668474975175,400,2.088667118743794,404.71128290933814,100,4.047112829093382,3
184,100,500,4,0.05,1.0,6000,790.4008900948388,400,1.976002225237097,477.5405760164375,100,4.775405760164375,4
185,100,500,4,0.05,0.8,6000,657.262985456822,400,1.643157463642055,532.4689064268297,100,5.324689064268297,0
186,100,500,4,0.05,0.8,6000,649.6951965085796,400,1.6242379912714489,830.6256221806342,100,8.306256221806342,1
187,100,500,4,0.05,0.8,6000,689.2658180011591,400,1.7231645450028978,415.04265302753214,100,4.150426530275322,2
188,100,500,4,0.05,0.8,6000,694.2737485582613,400,1.7356843713956533,422.582158293935,100,4.22582158293935,3
189,100,500,4,0.05,0.8,6000,696.2524813455174,400,1.7406312033637934,621.3021470625555,100,6.213021470625555,4
190,100,500,4,0.05,0.5,6000,573.6491042343813,400,1.4341227605859532,518.4331665754796,100,5.184331665754796,0
191,100,500,4,0.05,0.5,6000,583.4734980657759,400,1.4586837451644397,581.7678027184643,100,5.817678027184643,1
192,100,500,4,0.05,0.5,6000,588.97344705968,400,1.4724336176491999,544.1671757134242,100,5.441671757134242,2
193,100,500,4,0.05,0.5,6000,590.7678968053773,400,1.4769197420134432,610.6818439896181,100,6.1068184398961805,3
194,100,500,4,0.05,0.5,6000,554.5041240743141,400,1.386260310185785,759.3957810109498,100,7.593957810109498,4
