,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
69,100,6256,4,0.2,0.8,350,37060.71422645669,5004,7.406217870994542,9159.102273824432,1252,7.315576896025904,4
70,100,6256,4,0.2,0.5,350,37048.50751140772,5004,7.403778479497945,9130.386412250129,1252,7.292640904353139,0
71,100,6256,4,0.2,0.5,350,36875.34802278681,5004,7.369174265145246,9369.9467894502,1252,7.483983058666293,1
72,100,6256,4,0.2,0.5,350,37024.34090127706,5004,7.398949021038581,9136.68495587896,1252,7.297671689999169,2
73,100,6256,4,0.2,0.5,350,36722.58209119723,5004,7.338645501837976,9444.462837507861,1252,7.543500668935991,3
74,100,6256,4,0.2,0.5,350,36918.66398640684,5004,7.377830532855084,9271.158063611228,1252,7.405078325568073,4
75,100,6256,4,0.2,0.1,350,36841.241714661584,5004,7.362358456167383,9320.310183154239,1252,7.444337206992204,0
76,100,6256,4,0.2,0.1,350,36803.44527076165,5004,7.354805209984343,9363.14162693424,1252,7.478547625346837,1
77,100,6256,4,0.2,0.1,350,36857.790988696725,5004,7.365665665207179,9324.224758483018,1252,7.4474638646030495,2
78,100,6256,4,0.2,0.1,350,36800.21497899871,5004,7.354159668065289,9360.462149916792,1252,7.476407467984658,3
79,100,6256,4,0.2,0.1,350,36829.12540105597,5004,7.359937130506789,9325.754127499504,1252,7.448685405351041,4
