,n_items,n_questions,n_dims_model,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
286,50,100,13,3.9621451168673074,80,0.04952681396084134,31484.63120621033,20,1574.2315603105167,10,6
287,50,100,13,1.583043567936552,80,0.0197880445992069,9519.333034130097,20,475.9666517065049,10,7
288,50,100,13,4.153693290802484,80,0.05192116613503105,43438.84786132411,20,2171.9423930662056,10,8
289,50,100,13,0.7549524293419468,80,0.009436905366774336,71876.09302036076,20,3593.804651018038,10,9
290,50,100,21,3.649874792935461,80,0.04562343491169326,32400158.620737184,20,1620007.9310368593,10,0
291,50,100,21,2.9487365225711284,80,0.0368592065321391,93504.34494491533,20,4675.217247245766,10,1
292,50,100,21,1.0398760066571124,80,0.012998450083213906,393328.4036899989,20,19666.420184499944,10,2
293,50,100,21,0.48636419943131054,80,0.006079552492891382,140590.29401046317,20,7029.514700523158,10,3
294,50,100,21,4.881802603920221,80,0.061022532549002764,13704804.042956788,20,685240.2021478394,10,4
295,50,100,21,2.0471470800169906,80,0.02558933850021238,53615.90745350291,20,2680.7953726751452,10,5
296,50,100,21,1.0348165819340913,80,0.01293520727417614,190911.75948745548,20,9545.587974372775,10,6
297,50,100,21,1.025657196427149,80,0.012820714955339364,1455366.2094190132,20,72768.31047095066,10,7
298,50,100,21,2.0705127470813096,80,0.02588140933851637,356180.57292681653,20,17809.028646340827,10,8
299,50,100,21,7.2811568328195015,80,0.09101446041024377,595167.4038113249,20,29758.370190566242,10,9
300,50,200,2,4226.385726594345,160,26.41491079121466,4563.0235410585565,40,114.07558852646392,10,0
301,50,200,2,3318.920058221301,160,20.74325036388313,3144.803293457067,40,78.62008233642668,10,1
302,50,200,2,4577.738564125838,160,28.610866025786486,14494.765589369144,40,362.3691397342286,10,2
303,50,200,2,3963.909190154976,160,24.7744324384686,8542.854600505862,40,213.57136501264654,10,3
304,50,200,2,3426.0394394275377,160,21.41274649642211,3319.922995752717,40,82.99807489381791,10,4
305,50,200,2,4210.510131350785,160,26.315688320942407,3432.941477172431,40,85.82353692931078,10,5
306,50,200,2,3407.297188828045,160,21.29560743017528,3601.173412847915,40,90.02933532119788,10,6
307,50,200,2,3938.6610931426876,160,24.6166318321418,14690.302988968568,40,367.2575747242142,10,7
308,50,200,2,3236.146005917214,160,20.225912536982587,5107.967578642905,40,127.69918946607262,10,8
309,50,200,2,2904.9604080425206,160,18.156002550265754,4819.839330930515,40,120.49598327326287,10,9
310,50,200,3,1563.915848072452,160,9.774474050452826,4485.361812390189,40,112.13404530975473,10,0
311,50,200,3,1659.5458461584171,160,10.372161538490108,8303.85326994053,40,207.59633174851325,10,1
312,50,200,3,1886.7395089290314,160,11.792121930806447,5416.497468308,40,135.4124367077,10,2
313,50,200,3,1625.6517871184333,160,10.160323669490207,11308.760814802088,40,282.7190203700522,10,3
314,50,200,3,1794.8493928597773,160,11.217808705373608,9482.58578005751,40,237.06464450143775,10,4
315,50,200,3,1590.1273959186296,160,9.938296224491435,4406.615936376008,40,110.1653984094002,10,5
316,50,200,3,1594.9846904769422,160,9.968654315480888,7190.019434690338,40,179.75048586725845,10,6
317,50,200,3,1895.0247418601496,160,11.843904636625934,7878.477178833018,40,196.96192947082545,10,7
318,50,200,3,1770.2650630779347,160,11.06415664423709,7701.336372962562,40,192.53340932406405,10,8
319,50,200,3,1884.4479121766813,160,11.777799451104258,7764.452110392123,40,194.1113027598031,10,9
320,50,200,5,466.9664440730722,160,2.918540275456701,5954.847511942626,40,148.87118779856564,10,0
321,50,200,5,359.80757937651623,160,2.2487973711032265,32142.482625223474,40,803.5620656305869,10,1
322,50,200,5,407.5278935783636,160,2.5470493348647727,5562.654315940638,40,139.06635789851595,10,2
323,50,200,5,524.0398430537655,160,3.275249019086034,5098.708744554073,40,127.46771861385182,10,3
324,50,200,5,456.12417308009486,160,2.8507760817505927,4324.143232246555,40,108.10358080616388,10,4
325,50,200,5,435.5709507061055,160,2.7223184419131594,5892.412456106862,40,147.31031140267154,10,5
326,50,200,5,355.71954112003647,160,2.223247132000228,4556.212192167244,40,113.9053048041811,10,6
327,50,200,5,560.325521687759,160,3.5020345105484934,6140.886692724409,40,153.52216731811023,10,7
328,50,200,5,439.7497082472657,160,2.7484356765454105,12792.208085830694,40,319.80520214576734,10,8
329,50,200,5,557.9311105607745,160,3.4870694410048406,14324.884284677937,40,358.1221071169484,10,9
330,50,200,8,41.970404584768424,160,0.26231502865480266,32252.287189565806,40,806.3071797391451,10,0
331,50,200,8,32.833218426115664,160,0.2052076151632229,29050.564810542022,40,726.2641202635506,10,1
332,50,200,8,44.68456252216296,160,0.27927851576351853,11029.555757436407,40,275.73889393591014,10,2
333,50,200,8,50.75932891906432,160,0.317245805744152,10643.62416693136,40,266.090604173284,10,3
334,50,200,8,84.96674409310222,160,0.5310421505818889,6114.738322496127,40,152.86845806240316,10,4
335,50,200,8,46.667722528764166,160,0.29167326580477604,11273.927327658152,40,281.8481831914538,10,5
336,50,200,8,44.33299181447669,160,0.2770811988404793,19178.192301115905,40,479.45480752789763,10,6
337,50,200,8,40.99752795526435,160,0.2562345497204022,30319.089744347137,40,757.9772436086785,10,7
338,50,200,8,59.68779915322647,160,0.37304874470766547,19403.93589421835,40,485.09839735545876,10,8
339,50,200,8,42.035173824183026,160,0.26271983640114394,5401.857595421428,40,135.0464398855357,10,9
340,50,200,13,8.318465043569239,160,0.05199040652230774,118699.01674401795,40,2967.475418600449,10,0
341,50,200,13,13.606359061470936,160,0.08503974413419335,31240.448584330643,40,781.0112146082661,10,1
342,50,200,13,11.122547538660548,160,0.06951592211662842,81702.89850259932,40,2042.572462564983,10,2
343,50,200,13,7.007337344234127,160,0.04379585840146329,23071.676251591645,40,576.7919062897911,10,3
344,50,200,13,10.847847400820932,160,0.06779904625513082,49698.18005490055,40,1242.4545013725137,10,4
345,50,200,13,7.661926962912786,160,0.047887043518204914,75079.76340373597,40,1876.9940850933992,10,5
346,50,200,13,17.076309880134385,160,0.10672693675083991,56939.14205673503,40,1423.4785514183757,10,6
347,50,200,13,14.095924823983525,160,0.08809953014989703,43141.58797025252,40,1078.539699256313,10,7
348,50,200,13,15.530805199951207,160,0.09706753249969505,78836.98490491745,40,1970.9246226229363,10,8
349,50,200,13,10.490801524323386,160,0.06556750952702116,43421.29355573395,40,1085.5323388933489,10,9
350,50,200,21,12.367471916132931,160,0.07729669947583082,399258.3275715876,40,9981.45818928969,10,0
351,50,200,21,14.402870654530618,160,0.09001794159081636,319916.5530629768,40,7997.91382657442,10,1
352,50,200,21,8.693579130381936,160,0.0543348695648871,170353.64200590752,40,4258.841050147688,10,2
353,50,200,21,8.069968051712515,160,0.05043730032320322,434736.80715397943,40,10868.420178849487,10,3
